Level,Salary
1.096170093078155,13752.134622635796
1.1049202253484456,7946.264802888922
1.1320904800926233,11081.99538774342
1.1747439807159634,19287.49967154612
1.2059153781256688,16933.946705851326
1.2157192505809622,19811.425149278493
1.2309350191065105,14243.470548844394
1.2734762839653615,13466.823490841836
1.2763486476897565,12513.230230609248
1.2936757140484811,15620.149854656385
1.315168749629267,20220.17191925924
1.3440934925959698,20150.480643611358
1.3462146873794447,11966.576367016958
1.381352757776801,12513.773236262388
1.3911053916202465,22467.797888537953
1.4421667789806913,10716.256067159153
1.462003362197623,20045.733639933824
1.4816641248936926,14792.992539285882
1.4829634081378087,12541.51705121347
1.500972515447788,12545.404276960406
1.5037149002908143,10783.009051259934
1.5468708499534405,24045.14641312472
1.5795047488419391,18803.427123490997
1.5971545280479509,12499.760349327938
1.6371162599798081,12486.307344304754
1.6533819011891495,12745.599657968221
1.6829032021380996,11635.887998159535
1.69698085492136,13854.833720827535
1.700851999736123,14510.15276197543
1.709615586235074,16394.623898819096
1.7469306569808798,15050.744674111584
1.7738472440604327,24342.96151075126
1.7747276895405144,12832.284565091935
1.7765037090630984,21824.99013228367
1.8200383270609461,17408.346410107297
1.8591547320175987,19970.537622826912
1.8593184893002233,18840.16960092728
1.8607761856688458,13959.79637791384
1.8634812264876994,16919.24359371145
1.8740501984133022,14716.132469913073
1.8825578416799567,23761.12769699526
1.9780962737497978,18882.624981611014
1.9819527022035461,19693.97366129306
1.9846471996261112,25517.706652744106
2.06976223795491,11817.482336741878
2.071134436367615,12912.06779948913
2.093616440316241,21692.847780213706
2.1035886311957896,19392.71982703967
2.1604812372424114,20231.802062723073
2.2041244389825874,19907.331149225327
2.207608655434449,23324.985298643445
2.235980266720311,20637.764410021937
2.2634290799687724,20697.413759961688
2.3178647166281436,18811.97785555112
2.340806200608167,16021.299235619155
2.352584320744351,19255.49513459478
2.382497120919677,25829.14050743463
2.4021347299725786,21835.395090415375
2.4068483829477167,17681.156335144453
2.4164622299156457,25802.56931413574
2.4414032340646146,26353.03134377981
2.462618286747067,14162.480986604663
2.476958102334712,25972.57692503021
2.4906712455030533,25395.064117593975
2.5244411675712017,15225.28393940653
2.5456268321960955,18630.361648790557
2.5534216070285662,26363.824165677306
2.5865136172747065,17090.053580723157
2.5980293161849515,19545.936796248126
2.598659334905928,27045.833839258717
2.611916567618646,19954.88721333768
2.621601834881592,18059.60176009045
2.65148547366105,26168.15855583988
2.6813575389864703,27247.554203912732
2.6853481413840568,18733.243602985516
2.715505631033758,16830.99667815554
2.732915957925117,24595.246732391115
2.7344468589365376,19795.493530047024
2.768952588312085,25683.45439478427
2.779820588733757,15389.342430241559
2.785656856976511,19395.25577636315
2.7944162543626394,27888.21361004834
2.8463533816446023,18175.57054988904
2.8557701661212933,15477.251953096806
2.858849052369028,19047.207056853702
2.9147820261711064,18778.541182387282
2.9213308463330145,23642.748649534413
2.92795931445461,29953.391502459974
2.933866979787671,20353.52168711956
2.9593535078827196,25213.59360807432
3.036268215455745,29352.9987690049
3.049937112872785,22454.93242198496
3.090986566025858,20381.07210772788
3.1020030021489373,25999.217316968385
3.1127521638168756,17829.117344307073
3.1287391411929946,27555.98258920253
3.155996903571192,25473.15203481786
3.1575942517929514,26754.38923306385
3.181899670044867,18908.04209520555
3.2015121309774646,24585.864224352863
3.2053801696314084,17498.991355195954
3.2210627734589172,25543.74824219926
3.2242733121245113,28227.515819888205
3.232998688764993,18771.137638308068
3.245131724811469,19472.703405311866
3.2575404090933664,27344.86557662482
3.272290672827732,28466.52446939315
3.275480504565773,21439.347277026773
3.277441979339973,26617.696922649906
3.2920815509114156,25480.063570748487
3.3187264620507975,24455.425589059698
3.36164724622535,29060.63059647794
3.414149740385811,24842.50870565987
3.4222845843076657,19765.585056610278
