cgpa,score,placed
7.076327140544873,6.373941071139624,0
6.916727510518924,6.255223227287036,0
5.102568263225743,4.921385149704522,0
6.364991310504625,6.658883715957568,0
6.520782475143428,7.251650176130028,0
6.595291123587602,5.9527479630433255,0
7.32068947690933,8.514840332076947,1
7.134410186907514,6.917511306073459,1
7.4316203711737785,7.414526535695029,1
8.059533046168513,7.461763702850254,1
8.251942954864374,6.3125507466460204,1
7.872492304905977,8.579728621994818,1
8.82209478381974,9.411569901493687,1
5.0729303307054465,4.847868285010875,0
5.783111942734184,5.836704516514081,0
5.030251499912568,5.443002874075848,0
7.589898856618412,6.339862171109178,0
8.592122195799949,8.168880053922912,1
5.973929186305197,6.609340930002659,0
8.708138179185227,7.704706640649827,1
5.241069561158243,5.475915906891546,0
8.737744107222056,7.652478663523333,1
6.406490748958538,6.7796347349053585,0
5.405683313796866,5.377170127958879,0
6.943487036745303,5.651381584020895,0
6.027106270882031,6.958897754447769,0
6.139491607847692,5.551818346409252,0
6.229159859705146,5.580957910093641,0
8.212103591330653,8.372558949115406,1
7.156645106701018,8.07555498624399,1
6.245230796624014,5.432573341441296,0
7.4413351332436735,7.490679013122051,1
7.864602696892774,8.207655897157233,1
6.090496002934135,6.6449804887446495,0
6.654196406101406,6.795349650323185,0
5.48754437334779,5.193922102081132,0
5.724597398138721,5.062525221619746,0
7.724471415859931,7.79338652229703,1
5.725753390782508,4.868042181194022,0
7.100653534668241,4.763573147872554,0
7.836185046889731,8.185432890215864,1
5.427507692378976,6.150655565247932,0
7.269248878515614,5.378902930082143,0
6.026251134805455,5.218466571037505,0
8.851707500950319,9.347030909754476,1
6.9341825868796985,8.580178962649057,1
8.223970199100632,8.240605165240959,1
7.200906168625047,6.6185038156417395,0
5.173650131419277,5.027332978535404,0
7.532605502376089,8.632506637694638,1
8.805613368826627,8.288842025526998,1
7.406447280585325,6.767093675265122,1
8.27675543770716,7.890560619961535,1
8.536825853393632,7.774162966786662,1
5.91231908779573,6.010455340591566,0
5.848179359632907,7.147922126408555,0
7.443923955403967,7.702387373896791,1
6.644113879226818,6.442231077525788,0
8.35944521146688,8.125996196334444,1
8.600092493592044,7.349539846634718,1
6.413685517210872,7.1201733389286,0
5.947482235897928,5.885212478287686,0
8.122102060975447,7.9777181301029465,1
6.099224142192544,8.653710196468433,1
8.290457274054713,8.529459600747263,1
6.694953014595051,6.093520174518904,0
7.670199597165881,7.329113520201447,1
5.382141255338673,6.300897822696077,0
7.4954372987062925,7.586053627136504,1
6.8070707149489165,5.656448332295023,0
7.346433852701896,8.081817000362058,1
5.672056830979454,5.137541562548258,0
7.947494979776728,9.446133200750765,1
8.451188310172913,9.315226762744633,1
5.866959200363103,5.509101683836102,0
5.382858222080647,6.407671311468738,0
5.094554344185346,5.1488387526072685,0
7.567886001773064,8.25010494187084,1
7.4283761443551235,7.816162398190704,1
7.18678965085628,6.509704326863581,0
5.927788384463902,5.412948518609933,0
6.563623983622058,7.387592637686987,0
7.377905340744692,7.11008507505946,1
6.9870674354366775,6.66414866484308,0
8.95114208085955,8.187044017380067,1
5.5457590102269325,5.884638262701701,0
7.780578216190375,9.430598151584892,1
6.6172750724171685,5.76324874101375,0
6.712798459702459,6.732174025040665,0
7.870391062632705,9.000167506965049,1
7.769744605297479,7.706031492300907,1
8.965023974808753,9.32692141180854,1
5.513577157816501,4.663662335298997,0
5.416438597536665,5.759084275302784,0
7.897355268514964,7.747639856511325,1
7.313547668025636,8.102131664569526,1
6.096642666239223,7.046551507491024,0
5.317677475955946,7.389328389570838,0
5.342632998385723,5.806339536956584,0
8.576763498656472,8.837400551922205,1
5.767469298874971,5.92297674013684,0
6.293486248462083,6.010953214213532,0
5.906625608907952,6.1774126836773045,0
6.41998522332775,6.1836640952165265,0
5.2776953709843735,5.412464152000065,0
7.0762391636330815,8.130317192119449,1
5.27045025436886,4.465216202145147,0
8.201426031289447,9.113328880192684,1
5.934848327641732,6.988540381513625,0
7.160047658418042,7.0655928368251795,1
8.520316350245833,6.822832431038957,1
7.603509476188776,7.11725188651323,1
7.131831146205341,8.16942678345423,1
6.297335012461502,6.279040562622397,0
6.332007652232791,5.532565866396863,0
7.6779478207927605,7.274127883810187,1
8.97655744488467,9.649053466088311,1
7.647356759397514,8.084743613958617,1
7.2311336694801,7.039987990144344,1
7.922602040956985,7.6291425115052345,1
6.860822449134872,6.547415929899815,0
5.240569370403141,4.502641222804339,0
7.249187263511639,8.541487815087192,1
8.830501138021521,8.57264476265245,1
5.701211769430639,6.674938586091036,0
7.760019563282663,8.977072404820625,1
5.803734754636226,6.602383473154594,0
7.143310737892325,6.798014487717886,0
5.3867057985868785,5.709689870856166,0
6.801483745032741,6.782127259920007,0
8.024653315580984,7.301691826996882,1
6.390286096955928,6.649773522333211,0
7.659646897948872,6.71641506502103,1
8.181799843158917,9.131943353928168,1
8.70871127791781,8.337017440079096,1
5.938568327421814,6.099496052120085,0
6.597263663237232,6.8238939604741455,0
5.609664053321669,5.4025400743584076,0
8.969934008633501,9.439289049813722,1
8.708003871697182,8.328080946399162,1
7.159828521122238,7.856866359088033,1
8.368133177505685,7.291349433308286,1
7.083831909088168,7.184935572725298,1
7.494342752011039,9.045485951257668,1
5.356497728464067,4.556232668779607,0
8.021081681987232,7.47888570556735,1
5.51085393454094,5.921980214268071,0
8.304270521010114,8.447935946561792,1
8.128112350681544,8.408616430100391,1
7.834978790971906,8.226328495090037,1
5.1446415220990485,5.652418696948464,0
6.212513423781314,7.100273297346293,0
6.052450279643372,6.380305205186182,0
6.440545629886076,6.2475395061912415,0
5.350570987055354,5.888629948017539,0
8.747831292124252,10.267736840040424,1
7.2152089628495055,7.109101965743447,1
6.222097242632094,5.4424737988955805,0
6.587926068297134,7.473590603726712,1
6.788810162019343,6.692505230856464,0
7.40237733344247,5.66424169663124,0
7.062717710785991,7.7406550525063285,1
8.67756789285767,8.249305344094532,1
6.987853931623321,6.915427305779993,0
8.96863205929325,9.234216323748463,1
8.405699830980383,8.558099574803636,1
5.834042057429343,6.401603511140575,0
8.722380858575665,8.37399176211979,1
5.465465591541904,5.87595023008277,0
8.269798833964767,8.062161491897633,1
6.52249317390632,7.113541558616323,0
8.511897281780278,9.004191268990722,1
8.472226760429802,7.723875798794126,1
8.223701600470484,9.09248729341051,1
8.160121745228246,7.731350989137007,1
6.218716556392163,6.8651627950170795,0
5.323677132205009,5.6175069829260815,0
6.611920715060646,8.082467656496744,1
5.694098059946034,5.5153252740485526,0
7.779804355609847,7.500350918715289,1
6.384398906151143,6.368863221440956,0
8.90244080343966,8.65989697717224,1
7.563888309381328,8.203841830934968,1
8.289922254537444,6.996873767788173,1
5.530098690967394,4.6871527556503105,0
8.44805792909049,7.593815591827136,1
8.691028762053577,9.451274835632438,1
6.948247675275743,8.316738373341284,1
7.425011751003909,7.341452376173932,1
8.059239203611982,7.924181825059974,1
5.69935450904165,5.755396239532195,0
7.01026430585377,7.939766947940322,1
6.594652111089252,5.852769603736793,0
5.5854959686489964,5.776191154836825,0
6.470137689166126,7.25029579299207,0
5.272689237541974,5.6735645734938505,0
5.103247627797948,5.254912921076943,0
5.540665156619291,6.341502030673004,0
8.852460446356694,6.689874611957304,1
7.198118143580068,7.740418399204794,1
8.86328864461288,8.34002809811094,1
6.7299915133205275,5.265485195835362,0
6.247264532341038,6.6562266119610225,0
7.024567451360976,8.123494287491342,1
6.758046754531641,6.648087942829488,0
5.422658737046976,6.184958374809327,0
7.563305258760825,8.853127865151741,1
5.864152730038398,6.916084292905636,0
7.478351819591318,8.790323443088432,1
7.6008043695926135,8.194506362450127,1
5.608099412514592,5.668446323635867,0
5.245398508442673,3.9638258589249378,0
8.12304634427376,7.926196353769801,1
6.83920169507728,6.164604418824327,0
5.232655182021903,6.9694093560201535,0
8.979465268679068,8.838756618733198,1
5.2311222439854665,5.329686089413055,0
7.780140915434213,8.221329216266588,1
8.934715701053655,8.969597658151617,1
5.9567204168637025,7.312761249208305,0
5.568997474748785,5.070877985361223,0
5.485539757689716,5.641225721879509,0
6.213100590270383,5.619124121711944,0
5.404183244042587,4.348165235066022,0
7.768645366776528,7.279230094052299,1
5.24916719252025,5.219537754881521,0
7.037688512599159,6.694246732985351,0
8.986787415411907,8.432850631512823,1
8.255881078024075,7.130827107086608,1
7.460877752924043,7.3943932948210875,1
6.225014483146447,5.021238183921645,0
7.495583345166554,8.103628116118236,1
7.1081658556466065,7.174117657994209,1
6.704333535561486,5.538292335989541,0
5.522841506960798,5.275474245320908,0
8.546416860961866,7.9446917364894,1
6.7991385952852905,7.054478203620635,0
5.778490047283061,6.8508504041015765,0
6.4710374035091585,4.970899427792562,0
6.656519010115709,6.748539873433642,0
8.310151582267498,8.182045345814185,1
7.934457522245609,8.471529583405982,1
8.077219574565358,8.24777687715551,1
5.044125057714589,4.442549592323534,0
6.664615992719046,6.409372844185752,0
6.9253766065412945,6.288555921098503,0
5.076769107292227,5.937574818171106,0
6.039252834980137,6.056302153917691,0
8.04115929248854,9.562111841090946,1
5.548438822915996,5.4999101718642995,0
7.141240525810367,6.574515112281996,0
5.86080748806895,4.649835973978688,0
5.0484830985755735,3.6059713575708177,0
5.964805830398166,4.697497075993774,0
8.903495019640214,9.117196340449402,1
8.206148447531959,8.613128466115906,1
8.838306577284133,7.573354015658426,1
6.95141617570545,7.6674468269663425,1
5.4389447947100145,5.0524959533632625,0
7.191837955894772,7.309272365483212,1
6.8175093382398435,8.107285840844183,1
8.377428330958464,9.09489978365089,1
5.392330323136978,5.177505804812312,0
6.952964548087113,6.2400107677548835,0
5.600194658775937,3.878742337712493,0
6.2987037075602395,5.723381052166303,0
7.949428309551198,7.780524118489042,1
6.904072517475067,6.114328895754119,0
